"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 17:29:31 GMT 2022","Thu Aug 11 17:29:41 GMT 2022","10104","","tests.PersonalOfferTest","","tests.PersonalOfferTest","checkingTransitionForm","Проверка перехода на ввод кода из смс",""
"passed","Thu Aug 11 17:27:51 GMT 2022","Thu Aug 11 17:28:10 GMT 2022","18967","","tests.OnlineBankPageTest","","tests.OnlineBankPageTest","checkingTheTransitionBetweenForms","",""
"passed","Thu Aug 11 17:28:36 GMT 2022","Thu Aug 11 17:28:49 GMT 2022","12868","","tests.PaymentsAndTransfersTest","","tests.PaymentsAndTransfersTest","checkErrorText","",""
"passed","Thu Aug 11 17:28:49 GMT 2022","Thu Aug 11 17:29:02 GMT 2022","13207","","tests.PaymentsAndTransfersTest","","tests.PaymentsAndTransfersTest","checkSearchSort","",""
"passed","Thu Aug 11 17:28:10 GMT 2022","Thu Aug 11 17:28:24 GMT 2022","13280","","tests.OnlineBankPageTest","","tests.OnlineBankPageTest","checkingErrorPhone","",""
"passed","Thu Aug 11 17:29:41 GMT 2022","Thu Aug 11 17:29:50 GMT 2022","9256","","tests.PersonalOfferTest","","tests.PersonalOfferTest","checkingInputsValidation","Проверка правильности отображения сообщения с ошибкой при незаполненных данных",""
"passed","Thu Aug 11 17:29:02 GMT 2022","Thu Aug 11 17:29:15 GMT 2022","12915","","tests.PaymentsAndTransfersTest","","tests.PaymentsAndTransfersTest","checkDeleteInput","",""
"passed","Thu Aug 11 17:28:24 GMT 2022","Thu Aug 11 17:28:36 GMT 2022","12361","","tests.OnlineBankPageTest","","tests.OnlineBankPageTest","checkingDeletePhone","",""
"passed","Thu Aug 11 17:29:15 GMT 2022","Thu Aug 11 17:29:31 GMT 2022","15714","","tests.CardSortTest","","tests.CardSortTest","checkingSortVirtualCard","Проверка сортировки виртуальной карты",""
